----------------------------------------------------------
Flugprofil BA NOIZH Bisang und Gschwend
----------------------------------------------------------
BEGIN_PROFILE
ProfileID:	Flight1_D2W_A321
Procedure:	S
Offset:	A
Offsetweight:	---
AircraftType:	A321
Route:	D2W
Runway:	28
disxy	z	v	rho	c	n1	flaps	gears	sb	phase
0	173.408024	0	1.1562938934375	337.991594781687	90	-99	-99	-99	-99
259.609809516777	226.748024	66.2582111879997	1.1503050106986	337.785413828614	90	-99	-99	-99	-99
1287.99498739269	302.948024	257.801099938846	1.14179066003062	337.490651106617	90	-99	-99	-99	-99
1610.61533320238	379.148024	82.8742750836936	1.13332460392096	337.195630715121	90	-99	-99	-99	-99
1987.13316345716	440.108024	95.3551906360409	1.12658640334919	336.959428425097	90	-99	-99	-99	-99
2309.75357194118	485.828024	81.4609746943278	1.12155289834083	336.782167992856	90	-99	-99	-99	-99
2631.59835928084	577.268024	83.6455844387908	1.11153751355733	336.4273669379	90	-99	-99	-99	-99
2949.45999399896	607.748024	79.8299165514068	1.10821430395621	336.309016739617	90	-99	-99	-99	-99
3238.44530035702	668.708024	73.8362330138733	1.10159069025533	336.072191309499	90	-99	-99	-99	-99
3560.47377794321	699.188024	80.8669318914093	1.09829026202999	335.953715989522	85	-99	-99	-99	-99
3879.33006915337	737.288024	80.2811249782207	1.09417537020588	335.805563059441	85	-99	-99	-99	-99
4185.70339014819	737.288024	76.5933302487035	1.09417537020588	335.805563059441	85	-99	-99	-99	-99
4521.7101361644	805.868024	85.7335078048569	1.08679829554282	335.538722939348	85	-99	-99	-99	-99
4812.77959594417	843.968024	73.3881122936835	1.08271639612287	335.390386693281	85	-99	-99	-99	-99
5150.88035270128	866.828024	84.7181729765415	1.08027289242543	335.301353446371	85	-99	-99	-99	-99
5501.74394294132	912.548024	88.45746765965	1.07539854233043	335.123215991325	85	-99	-99	-99	-99
5808.33544979112	950.648024	77.2374431835181	1.07134945160281	334.974695747109	85	-99	-99	-99	-99
6155.90381178517	973.508024	87.0798289858302	1.06892560168905	334.88555198391	85	-99	-99	-99	-99
6495.44983356764	1026.848024	85.9275336069228	1.06328626574415	334.677457531678	85	-99	-99	-99	-99
6791.60880724532	1049.708024	74.2599813534435	1.06087638701091	334.588234575826	85	-99	-99	-99	-99
7142.0548201329	1103.048024	88.620526526306	1.05526958525188	334.379955094303	85	-99	-99	-99	-99
7479.85001263746	1148.768024	85.2188031184996	1.05048182207621	334.201326511832	85	-99	-99	-99	-99
7789.14177902214	1171.628024	77.5338540386385	1.04809418103456	334.111976407564	85	-99	-99	-99	-99
8163.23939603905	1194.488024	93.6988549348817	1.04571069367317	334.022602402395	85	-99	-99	-99	-99
8512.76840087781	1209.728024	87.4652726884978	1.04412400722548	333.963006444529	85	-99	-99	-99	-99
8892.16139024954	1232.588024	95.0202675697482	1.04174743153573	333.873592561868	85	-99	-99	-99	-99
9251.73028819745	1255.448024	90.0737100835586	1.03937499617717	333.784154727075	85	-99	-99	-99	-99
9668.31999709928	1270.688024	104.217094076174	1.03779567031966	333.724516187631	85	-99	-99	-99	-99
10072.7642441572	1285.928024	101.182819248815	1.03621818090661	333.664866988522	85	-99	-99	-99	-99
10489.9014205048	1308.788024	104.440773734239	1.03385538688326	333.57537319048	85	-99	-99	-99	-99
10900.5396762082	1324.028024	102.730239780924	1.03228248210821	333.515697317185	85	-99	-99	-99	-99
11332.2433946712	1346.888024	108.077136844114	1.02992655811076	333.426163481015	85	-99	-99	-99	-99
11788.2666884651	1362.128024	114.069469535748	1.02835822873465	333.366460897716	85	-99	-99	-99	-99
12239.3795666089	1377.368024	112.842558025325	1.02679172693351	333.306747620369	85	-99	-99	-99	-99
12728.4711801133	1400.228024	122.406389232841	1.02444539770646	333.217157640432	85	-99	-99	-99	-99
13256.0712461582	1415.468024	131.955031945201	1.02288345838702	333.157417602803	85	-99	-99	-99	-99
13724.0493825851	1453.568024	117.381628187071	1.01898657991819	333.008020621528	85	-99	-99	-99	-99
14230.2063438865	1484.048024	126.768465093324	1.01587726253057	332.888454762054	85	-99	-99	-99	-99
14756.9604998855	1529.768024	132.183645750485	1.01122690117036	332.709025406989	85	-99	-99	-99	-99
15263.1199431712	1552.628024	126.668850163352	1.00890783636516	332.619274432448	85	-99	-99	-99	-99
15796.2523970867	1590.728024	133.623029316145	1.00505177177888	332.469635633795	85	-99	-99	-99	-99
16358.0365483019	1621.208024	140.652600170734	1.0019750459865	332.349876085532	85	-99	-99	-99	-99
16923.5159722414	1651.688024	141.575070479159	0.998905530492611	332.23007336734	85	-99	-99	-99	-99
17363.9694485625	1651.688024	110.113369080284	0.998905530492611	332.23007336734	85	-99	-99	-99	-99
18084.2877229986	1735.508024	181.294685678915	0.990501445385428	331.900392915658	85	-99	-99	-99	-99
18681.0978971561	1788.848024	149.797267076598	0.985181624365825	331.690425653	85	-99	-99	-99	-99
19242.8827984944	1844.931224	141.144341166651	0.979611813209206	331.4695166355	85	-99	-99	-99	-99
19813.4584086696	1898.271224	143.265854822165	0.974336819595716	331.259276263884	85	-99	-99	-99	-99
20401.2423944019	1982.091224	148.432603873635	0.96609147722413	330.928628678107	85	-99	-99	-99	-99
21047.803191641	2043.051224	162.357049840481	0.96012847169979	330.687950052572	85	-99	-99	-99	-99
21644.613598285	2096.391224	149.797324967481	0.954933974930438	330.4772124705	85	-99	-99	-99	-99
22234.5738015724	2180.211224	148.97122915661	0.946814661638766	330.145781633163	85	-99	-99	-99	-99
